occurrence_no,pres_mode,preservation_quality,common_body_parts,abund_value,abund_unit,class,family,genus,taxon_environment,life_habit,diet,early_interval,late_interval,time_bins,museum,collection_no,age_max,age_min,age_median,age_uncer_range,lng,lat,environment,occurrence_comments,cc,state,county,formation,stratgroup,member,zone,accepted_rank,ref_author,ref_pubyr,reference_no.x,collection_name,collection_subset,collection_aka,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,geoplate,paleoage,paleolng,paleolat,paleomodel2,geoplate2,paleoage2,paleolng2,paleolat2,paleomodel3,geoplate3,paleoage3,paleolng3,paleolat3,protected,stratscale,localsection,localbed,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,tectonic_setting,geology_comments,assembl_comps,articulated_parts,associated_parts,rare_body_parts,feed_pred_traces,artifacts,component_comments,spatial_resolution,temporal_resolution,lagerstatten,concentration,orientation,abund_in_sediment,collection_comments,taxonomy_comments
792534,body,,,1,individuals,Reptilia,NO_FAMILY_SPECIFIED,Noteosuchus,terrestrial,,herbivore,Induan,,Induan,,85942,251.902,251.2,251.551,0.702,25.381111,-31.761667,terrestrial indet.,AMSA 3591,ZA,Eastern Cape,Inxuba Yethemba,Katberg,Beaufort,,,species,Watson,1912,88098,Grassy Ridge,NA,"Grass Ridge, Grassridge",based on political unit,seconds,small collection,"""Grassy Ridge, Cape Province, at the very base of the Lystrosaurus zone"" (Carroll, 1976); no further informations are given.\r\nKitching (1977) gives ""Grassridge, Cradock"" as the type locality of Noteosuchus colletti.\r\nThere is a farm called ""Grass Ridge"" just west of a reservoir lake called ""Grass Ridge"" as well at the eastern margin of the Inxuba Yethemba local municipality (former Cradock and Middelburg districts) in the Eastern Cape Province. It is very likely that this is the locality Carroll (1976) and Kitching (1977) refers to. Polar coordinates are for farm Grass Ridge, Inxuba Yethemba, Eastern Cape.",gplates,701,mid,-13.48,-50.76,scotese,701,mid,-24.17,-63.77,seton,not computable using this model,,NA,NA,,bed,,,"""lowermost triassic""; see also comments on locality","""The type of Noteosuchus colletti is preserved in a roughly circular block of waterworn limestone, termed a 'nodule' by early describers""","""limestone""",,,,,,,,,,foreland basin,,macrofossils,,,,,NA,,,,,,,,"""Because the matrix was exceedingly hard and the bone comparatively soft, it was decided rather to remove the bone mechanically. This resulted in the exposure of extremely high fidelity moulds of both dorsal and ventral surfaces. These were cast with liquid latex.""",
792533,body,,,NA,,Reptilia,NO_FAMILY_SPECIFIED,Corosaurus,marine,,,Olenekian,,Olenekian,,85941,248.9,247.2,248.05,1.7,-106.442497,42.731945,carbonate indet.,,US,Wyoming,Natrona,Crow Mountain,Chugwater,Alcova Limestone,,species,Rieppel,1998,28997,Jackson Canyon,NA,,estimated from map,seconds,small collection,"The specimens were collected along the Alcova Limestone around Jackson Canyon and nearby outcrops - see Rieppel, O., 1998 for details.",gplates,101,mid,-27.7,24.67,scotese,101,mid,-31.6,11.2,seton,not computable using this model,,NA,NA,,bed,,,,,"""limestone""",stromatolitic,lithified,carbonaceous,Y,,,,,,foreland basin,,macrofossils,,,,,NA,,,,,,,,,
792529,"body,mold/impression",good,,1,individuals,Reptilia,Procolophonidae,Sclerosaurus,terrestrial,,herbivore,Anisian,,Anisian,,85940,247.2,244.7,245.95,2.5,7.649167,47.580555,terrestrial indet.,"Bs 28, natural mold of a nearly complete, largely undisturbed skeleton",CH,Basel-Stadt,,? Plattensandstein,Upper Buntsandstein,,,species,Sues and Reisz,2008,28995,"Riehen, Wiedersheim 1878",NA,“Labyrinthodon” ruetimeyeri holotype site,based on nearby landmark,seconds,hand sample,"""abandoned quarry at Riehen near Basel, Switzerland""",gplates,305,mid,27.87,26,scotese,305,mid,18.85,13.05,seton,not computable using this model,,NA,NA,,bed,,,"""Upper Middle Buntsandstein""\r\nThe Upper Middle Buntsandstein in southern Germany (and northern Switzerland) is represented by a large hiatus. Thus, it is more likely that the locality is in the Upper Buntsandstein, as is the Warmbach-Locality (9 km lateral distance, see coll. 85939), presumably in the Plattensandstein Fm. \r\n\r\nUpper Buntsandstein is early Anisian in age (Kozur & Bachmann 2008 Berichte Geol. B.-A., 76)","""fine- to medium-grained sandstone""",sandstone,"fine,medium",,,,,,,,,,,macrofossils,,,,,NA,,,snapshot,,,,,,
792528,body,good,,1,individuals,Reptilia,Procolophonidae,Sclerosaurus,terrestrial,,herbivore,Anisian,,Anisian,,85939,247.2,244.7,245.95,2.5,7.7725,47.55722,fluvial-lacustrine indet.,"Holotype, counterpart blocks with a partial postcranial skeleton; specimen in the collections of the Geologisches Institut of Albert-Ludwigs-Universität in Freiburg im Breisgau",DE,Baden-Württemberg,Lörrach,Plattensandstein/Rötton,Upper Buntsandstein,,,species,Sues and Reisz,2008,28995,Warmbach near Rheinfelden,NA,Sclerosaurus holotype site,estimated from map,seconds,hand sample,"""quarry at Warmbach near Rheinfelden, Baden, Germany""",gplates,305,mid,27.97,26,scotese,305,mid,18.94,13.06,seton,not computable using this model,,NA,NA,,bed,,,"""Upper Buntsandstein"". The beds of the Upper Buntsandstein series (Lower and lowermost Middle Triassic of Central Europe) cropping out at Rheinfelden belong either to the Plattensandstein Fm. [Platy Sandstone Fm.] or to the overlying Rötton Fm. [Röt Claystone Fm.]. Upper Buntsandstein is early Anisian in age (Kozur & Bachmann 2008 Berichte Geol. B.-A., 76)",,mudstone,,,sandy,Y,,,,,,,,macrofossils,,,,,NA,,,snapshot,,,,,specimen was found in the talus of the quarry,
792227,body,,,1,individuals,Reptilia,NO_FAMILY_SPECIFIED,Coelurosauravus,terrestrial,volant,,Wuchiapingian,,Wuchiapingian,,85484,259.51,254.14,256.825,5.37,11.516667,51.516666,offshore,"specimen in the private collection of T. Schneider, Helbra (catalogue no. of copy: MB.R.3610)",DE,Saxony Anhalt,Mansfelder Land,Werra,Zechstein,Kupferschiefer,,genus,Schaumberg et al.,2007,28974,Mansfeld mining district,NA,"Mansfelder Revier, Mansfelder Mulde, Mansfelder Land, Kupferschiefer, Copper Shale, Wolfsschacht, Otto-Schacht",based on nearby landmark,minutes,local area,"The Mansfeld Trough lies SE of the Hartz Mountains, and has many old mining facilities. Lat long is for the town of Eisleben.",gplates,315,mid,30.18,25.11,scotese,315,mid,23.79,16.3,seton,not computable using this model,,NA,NA,,member,,,"The Kupferschiefer (T1) is the basalmost unit of the Werra Formation (Z1), the latter being the basalmost formation of the Zechstein Series (Uppermost Permian of Central Europe).\r\nBrauns et al. (2003) reported a date of 257.3±1.6 Ma (Late Permian/Lopingian: Wuchiapingian) for the Kupferschiefer based on a Re-Os geochronological study. The presence of the conodont Mesogondolella britannica in Kupferschiefer equivalents supports a middle Wuchiapingian age for the Protorosaurus-bearing levels (Legler et al. 2005, 2008).",,claystone,black,lithified,,Y,,,,,,foreland basin,"Deposition took place ""below wave base in a stratified water body (Paul, 1986a)"" (Becker & Bechstädt, 2006, Sedimentology 53, pp. 1083–1120)\r\n""Sedimentation rates during Kupferschiefer deposition were low (5 mm kyr)1; Füchtbauer, 1968). The Kupferschiefer is thus interpreted as a condensed section, which formed during maximum flooding (Ross & Ross, 1995; Strohmenger et al., 1996a)."" (Becker & Bechstädt, 2006)",macrofossils,,,,,NA,,,time-averaged,,,,,"The fossils come from the spoil heaps of the copper mines.\r\nGM = Geiseltalmuseum of the Martin-Luther-Universität, Halle/Saale, Germany\r\nSSWG = Geological Institute of the Ernst-Moritz-Arndt-Universität, Greifswald, Germany",
791945,body,excellent,,1,individuals,Reptilia,NO_FAMILY_SPECIFIED,Protorosaurus,terrestrial,,,Wuchiapingian,,Wuchiapingian,SMNS,81115,259.51,254.14,256.825,5.37,9.931111,50.99139,offshore,see collection comments for information on specimens,DE,Hesse,Hersfeld-Rotenburg,Werra,Zechstein,Kupferschiefer,,species,Munk and Sues,1993,28968,Halde Schnepfenbusch,NA,"Schachtanlage Schnepfenbusch, Nentershausen-Bauhaus, Kupferschiefer, Copper Shale, Richelsdorfer Gebirge, Richelsdorf Mountains",stated in text,seconds,small collection,"""spoil heaps of the former mine Schachtanlage Schnepfenbusch near Nentershausen-Bauhaus (topographic map 1: 25 000, sheet no. 5925 - Hönebach; coordinates: r: 35 65 500, h: 56 51 200)"" (Munk & Sues, 1993)",gplates,315,mid,29.22,24.4,scotese,315,mid,22.96,15.51,seton,not computable using this model,,NA,NA,,group of beds,,,"The Kupferschiefer is the basalmost unit of the Werra Formation, the latter being the basalmost formation of the Zechstein Series (Uppermost Permian of Central Europe).\r\n""The material is derived from the beta sequence (""grober Letten"") of the Kupferschiefer."" (Sues & Munk, 1993)\r\nBrauns et al. (2003) reported a date of 257.3±1.6 Ma (Late Permian/Lopingian: Wuchiapingian) for the Kupferschiefer based on a Re-Os geochronological study. The presence of the conodont Mesogondolella britannica in Kupferschiefer equivalents supports a middle Wuchiapingian age for the Protorosaurus-bearing levels (Legler et al. 2005, 2008).",,claystone,black,lithified,,Y,,,,,,foreland basin,"Deposition took place ""below wave base in a stratified water body (Paul, 1986a)"" (Becker & Bechstädt, 2006, Sedimentology 53, pp. 1083–1120)\r\n""Sedimentation rates during Kupferschiefer deposition were low (5 mm kyr)1; Füchtbauer, 1968). The Kupferschiefer is thus interpreted as a condensed section, which formed during maximum flooding (Ross & Ross, 1995; Strohmenger et al., 1996a)."" (Becker & Bechstädt, 2006)",macrofossils,,,,,NA,,allochthonous,time-averaged,,,,,"SMNK = Staatliches Museum für Naturkunde Karlsruhe\r\nSMNS = Staatliches Museum für Naturkunde Stuttgart\r\n \r\nProtorosaurs speneri: two slabs in the private collections of W. Simon and H. Bartholomäus, respectively, containing the remains of one and the same individual with preservation of the gut content. Epoxy-resin casts of these specimens are deposited in the Staatliches Museum für Naturkunde Karlsruhe and the Staatliches Museum für Naturkunde Stuttgart. (Munk & Sues, 1993)",
791885,body,excellent,,1,individuals,Reptilia,NO_FAMILY_SPECIFIED,Parasaurus,terrestrial,,herbivore,Wuchiapingian,,Wuchiapingian,SMNS,81115,259.51,254.14,256.825,5.37,9.931111,50.99139,offshore,SMNK-po 688; a cast of this specimen is reposited in Stuttgart (SMNS 56840).,DE,Hesse,Hersfeld-Rotenburg,Werra,Zechstein,Kupferschiefer,,species,Tsuji and Müller,2008,28938,Halde Schnepfenbusch,NA,"Schachtanlage Schnepfenbusch, Nentershausen-Bauhaus, Kupferschiefer, Copper Shale, Richelsdorfer Gebirge, Richelsdorf Mountains",stated in text,seconds,small collection,"""spoil heaps of the former mine Schachtanlage Schnepfenbusch near Nentershausen-Bauhaus (topographic map 1: 25 000, sheet no. 5925 - Hönebach; coordinates: r: 35 65 500, h: 56 51 200)"" (Munk & Sues, 1993)",gplates,315,mid,29.22,24.4,scotese,315,mid,22.96,15.51,seton,not computable using this model,,NA,NA,,group of beds,,,"The Kupferschiefer is the basalmost unit of the Werra Formation, the latter being the basalmost formation of the Zechstein Series (Uppermost Permian of Central Europe).\r\n""The material is derived from the beta sequence (""grober Letten"") of the Kupferschiefer."" (Sues & Munk, 1993)\r\nBrauns et al. (2003) reported a date of 257.3±1.6 Ma (Late Permian/Lopingian: Wuchiapingian) for the Kupferschiefer based on a Re-Os geochronological study. The presence of the conodont Mesogondolella britannica in Kupferschiefer equivalents supports a middle Wuchiapingian age for the Protorosaurus-bearing levels (Legler et al. 2005, 2008).",,claystone,black,lithified,,Y,,,,,,foreland basin,"Deposition took place ""below wave base in a stratified water body (Paul, 1986a)"" (Becker & Bechstädt, 2006, Sedimentology 53, pp. 1083–1120)\r\n""Sedimentation rates during Kupferschiefer deposition were low (5 mm kyr)1; Füchtbauer, 1968). The Kupferschiefer is thus interpreted as a condensed section, which formed during maximum flooding (Ross & Ross, 1995; Strohmenger et al., 1996a)."" (Becker & Bechstädt, 2006)",macrofossils,,,,,NA,,allochthonous,time-averaged,,,,,"SMNK = Staatliches Museum für Naturkunde Karlsruhe\r\nSMNS = Staatliches Museum für Naturkunde Stuttgart\r\n \r\nProtorosaurs speneri: two slabs in the private collections of W. Simon and H. Bartholomäus, respectively, containing the remains of one and the same individual with preservation of the gut content. Epoxy-resin casts of these specimens are deposited in the Staatliches Museum für Naturkunde Karlsruhe and the Staatliches Museum für Naturkunde Stuttgart. (Munk & Sues, 1993)",
791882,body,,,1,individuals,Reptilia,NO_FAMILY_SPECIFIED,Parasaurus,terrestrial,,herbivore,Wuchiapingian,,Wuchiapingian,,85489,259.51,254.14,256.825,5.37,9.953333,50.996666,offshore,S 163; specimen in the collection of the Naturkundemuseum in Kassel; provenance uncertain,DE,Hesse,Hersfeld-Rotenburg,Werra,Zechstein,Kupferschiefer,,species,Schaumberg,1976,28914,Wolfsberg Mine,NA,"Iba, Kupferschiefer, Copper Shale, Richelsdorfer Gebirge, Richelsdorf Mountains",estimated from map,seconds,hand sample,"The specimens come from the spoil heap of the abandoned Wolfsberg Mine near Iba, a village in the Richelsdorf Mts. of NE Hesse, Central Germany. Lat long is for Iba.",gplates,315,mid,29.34,25.09,scotese,315,mid,22.84,15.67,seton,not computable using this model,,NA,NA,,member,,,"The Kupferschiefer (T1) is the basalmost unit of the Werra Formation (Z1), the latter being the basalmost formation of the Zechstein Series (Uppermost Permian of Central Europe).\r\nThe Parasaurus specimen is said to come from the alpha sequence (""feine Letten"") of the Kupferschiefer (Sues & Munk, 1996, Paläont. Z. 67 (1/2), p. 169-176)",,claystone,"black,brown",lithified,,Y,,,,,,,"Deposition took place ""below wave base in a stratified water body (Paul, 1986a)"" (Becker & Bechstädt, 2006, Sedimentology 53, pp. 1083–1120)\r\n""Sedimentation rates during Kupferschiefer deposition were low (5 mm kyr)1; Füchtbauer, 1968). The Kupferschiefer is thus interpreted as a condensed section, which formed during maximum flooding (Ross & Ross, 1995; Strohmenger et al., 1996a)."" (Becker & Bechstädt, 2006)",macrofossils,,,,,NA,,allochthonous,time-averaged,,,,,,
791754,body,,,1,specimens,Reptilia,NO_FAMILY_SPECIFIED,Zanclodon,terrestrial,,,Ladinian,,Ladinian,,48685,242,237,239.5,5,9.771111,49.038891,terrestrial indet.,tooth,DE,Baden-Württemberg,,Erfurt,Keuper,Lower Lettenkeuper,,species,Plieninger,1846,28965,"Swäbisch Hall, Gaildorf",NA,"Zanclodon type site, Schwäbisch",based on nearby landmark,5,small collection,"Gaildorf, near Swäbisch Hall (Schwäbisch), Baden-Württemberg",gplates,305,mid,28.12,28.71,scotese,305,mid,17.82,15.3,seton,not computable using this model,,NA,NA,,bed,,,Lettenkohle (= Lower Lettenkeuper or lower Erfurt Formation). Erfurt Formation is Ladinian in age (see Deutsche Stratigraphische Kommission 2005: Cour. Forsch.-Inst. Senckenberg 253:1-296).,,not reported,,,,,,,,,,,,macrofossils,,,,,NA,,,,,,,,,
790511,body,,,5,individuals,Reptilia,NO_FAMILY_SPECIFIED,Pareiasuchus,terrestrial,,herbivore,Wuchiapingian,,Wuchiapingian,,80826,259.51,254.14,256.825,5.37,24.533333,-32.25,terrestrial indet.,"SAM 3016 (type), SAM K 6607; BPI 1/254, 1/1500; GSP 475, GSP R320, GSP CBT4, GSP TN257; only the type was definetely found at this locality; all other may probably come from other localities, which are all in the Cistecephalus AZ of South Africa",ZA,Eastern Cape,,Middleton/Balfour,Beaufort,,Cistecephalus Assemblage,species,Lee et al.,1997,28941,Graaff-Reinet Commonage,NA,,based on nearby landmark,minutes,basin,Lat long is for the town of Graaff-Reinet.,gplates,701,mid,-19.52,-52.28,scotese,701,mid,-29.54,-61.89,seton,not computable using this model,,NA,NA,,formation,,,"""Cistecephalus Zone""; The Cistecephalus Assemblage Zone is Wuchiapingian, according to Catuneanu et al. (2005, J. Afr. Earth Sci. 43); Lithostratigraphy is from correlation chart in Catuneanu et al. (2005, p. 237). ",,not reported,,,,,,,,,,foreland basin,,macrofossils,,,,,NA,,,,,,,,,
790487,body,,,1,individuals,Reptilia,Captorhinidae,Romeria,terrestrial,ground dwelling,"insectivore, herbivore",Asselian,,Asselian,MCZ,79163,298.9,293.52,296.21,5.38,-98.777496,33.449722,terrestrial indet.,MCZ 1963 (type),US,Texas,Archer,Archer City,Wichita,,,species,Clark and Carroll,1973,28415,Cottonwood Creek (Moran Fm.),NA,Locality IIb (Romer & Price),estimated from map,seconds,outcrop,"Cottonwood Creek is a tributary of the south fork of the Little Wichita River (about 10 miles south of Archer City). Locality is ""near the head of Cottonwood Creek, close to the southern border of Archer Co."" (Romer & Price, 1940) ",gplates,101,mid,-30.65,-2.02,scotese,101,mid,-32.18,-4.57,seton,not computable using this model,,NA,NA,,group of beds,,,"""about 50 feet below the Sedwick limestone equivalent"" (Clark & Carroll, 1973)\r\nThe former Moran Formation comprises the lower part of the Archer City Formation (Hentz, 1988, The University of Texas at Austin, Bureau of Economic Geology, Report of Investigations, 170).",,not reported,,,,,,,,,,foreland basin,,macrofossils,,,,,NA,,,,,,,,,
790486,body,,,5,individuals,Reptilia,Protorothyrididae,Protorothyris,terrestrial,,,Asselian,,Asselian,MCZ,79163,298.9,293.52,296.21,5.38,-98.777496,33.449722,terrestrial indet.,"MCZ 1532 (type), 2147-2150",US,Texas,Archer,Archer City,Wichita,,,species,Clark and Carroll,1973,28415,Cottonwood Creek (Moran Fm.),NA,Locality IIb (Romer & Price),estimated from map,seconds,outcrop,"Cottonwood Creek is a tributary of the south fork of the Little Wichita River (about 10 miles south of Archer City). Locality is ""near the head of Cottonwood Creek, close to the southern border of Archer Co."" (Romer & Price, 1940) ",gplates,101,mid,-30.65,-2.02,scotese,101,mid,-32.18,-4.57,seton,not computable using this model,,NA,NA,,group of beds,,,"""about 50 feet below the Sedwick limestone equivalent"" (Clark & Carroll, 1973)\r\nThe former Moran Formation comprises the lower part of the Archer City Formation (Hentz, 1988, The University of Texas at Austin, Bureau of Economic Geology, Report of Investigations, 170).",,not reported,,,,,,,,,,foreland basin,,macrofossils,,,,,NA,,,,,,,,,
790483,body,variable,,1,individuals,Reptilia,Captorhinidae,Captorhinikos,terrestrial,ground dwelling,"insectivore, herbivore",Kungurian,,Kungurian,FMNH,85551,283.5,273.01,278.255,10.49,-99.576942,33.676109,coarse channel fill,CNHM UR 106,US,Texas,Knox,Vale,Clear Fork,"""Bullwagon""",,species,Olson,1954,26907,Locality KB (Upper Vale Fm.),NA,,estimated from map,seconds,small collection,"""Valley of South Wichita River, south of River and East of Vera-Gilliland Road""; for details see map on p. 188 in Olson (1948)",gplates,101,mid,-29.23,1.85,scotese,101,mid,-28.3,3.64,seton,not computable using this model,,NA,NA,,member,,,"""Robert Roth, of the Humble Oil and Refining Company of Wichita Falls, Texas, believes that surface and subsurface data show that the beds in question are part of the 'Bullwagon' member of the Vale formation. This places the section high in the Vale, just below the Choza."" Olson (1948 p. 190);\r\nthe base and top of the Clear Fork Group (i.e., Arroyo, Vale, and Choza formations) are both within the Kungurian: see Wardlaw 2005 (Permophiles) for the base, and DiMichele et al. 2001 (J Paleont) for the top","""The channel fill is largely clay pebble conglomerate, with pebbles ranging from a few millimeters to about 8 cm. in diameter. Rounding of the pebbles is uniformly high, but sphericity is varied. [...] The coarsest material tend to lie at the center of the channel, whereas the marginal parts are predominantly sand or clay with fine scattered pebbles."" Olson (1948, p. 191)",conglomerate,"pebbly,green,red",,,Y,,,,,,foreland basin,"""The channels are evidence that a rather large, braided stream passed north or south over the area in a valley of considerable width. The region must have had a moderately high annual rainfall to support the fauna and flora. The total rainfall was perhaps not greatly different from what it is today, and the temperature may have been quite similar, with possibly less seasonal variation. The rains, however appear to have been periodic and torrential [...] "" Olson (1948, p. 192)",macrofossils,,,,,NA,,,snapshot,,,,,,"Although Olson (1956:331) stated that FMNH UR 29 was collected from locality KC (also in the upper part of the Clear Fork Formation; Olson, 1958: table 1), this is likely a lapsus calami, judging from his statement that this specimen was preserved in association with <i>Captorhinus</i>, and from his faunal lists for localities KB and KC in Olson (1958:430), which list <i>Captorhinus</i> and Edaphosaurid, n. gen., unnamed for the locality KB, whereas neither taxon is listed for KC in the 1958 publication. (Modesto et al, 2016)."
790482,body,variable,,1,individuals,Reptilia,Captorhinidae,Captorhinikos,terrestrial,ground dwelling,"insectivore, herbivore",Kungurian,,Kungurian,FMNH,85555,283.5,273.01,278.255,10.49,-99.548615,33.7575,coarse channel fill,CNHM UR 105; from west end of locality,US,Texas,Knox,Vale,Clear Fork,,,species,Olson,1954,26907,Locality KH (Upper Vale Fm.),NA,,estimated from map,seconds,outcrop,"""Southern margin of valley of North Wichita River""; for details see map on p. 188 in Olson (1948)",gplates,101,mid,-29.17,1.9,scotese,101,mid,-28.24,3.7,seton,not computable using this model,,NA,NA,,member,,,"""Robert Roth, of the Humble Oil and Refining Company of Wichita Falls, Texas, believes that surface and subsurface data show that the beds in question are part of the 'Bullwagon' member of the Vale formation. This places the section high in the Vale, just below the Choza."" (Olson, 1948 p. 190);\r\n""base of upper part of Vale"" (Olson, 1954)\r\nthe base and top of the Clear Fork Group (i.e., Arroyo, Vale, and Choza formations) are both within the Kungurian: see Wardlaw 2005 (Permophiles) for the base, and DiMichele et al. 2001 (J Paleont) for the top","""The channel fill is largely clay pebble conglomerate, with pebbles ranging from a few millimeters to about 8 cm. in diameter. Rounding of the pebbles is uniformly high, but sphericity is varied. [...] The coarsest material tend to lie at the center of the channel, whereas the marginal parts are predominantly sand or clay with fine scattered pebbles."" Olson (1948, p. 191)",conglomerate,"pebbly,green,red",,,Y,,,,,,foreland basin,"""The channels are evidence that a rather large, braided stream passed north or south over the area in a valley of considerable width. The region must have had a moderately high annual rainfall to support the fauna and flora. The total rainfall was perhaps not greatly different from what it is today, and the temperature may have been quite similar, with possibly less seasonal variation. The rains, however appear to have been periodic and torrential [...] "" Olson (1948, p. 192)",macrofossils,,,,,NA,,,snapshot,,,,,,"This collection represents the scattered finds at the locality. Olson (1958) subdivided the locality into four sub-locations: Clay Hill site, Diplocaulus Quarry Site, and Chocolate Hill Site."
790463,body,,,1,individuals,Reptilia,NO_FAMILY_SPECIFIED,Parasaurus,terrestrial,,herbivore,Wuchiapingian,,Wuchiapingian,,85565,259.51,254.14,256.825,5.37,10.865,51.541668,offshore,IGMLU uncatalogued,DE,Thuringia,Nordhausen,Werra,Zechstein,Kupferschiefer,,species,Tsuji and Müller,2008,28938,Buchholz,NA,"Ilfeld Basin, Kupferschiefer, Copper Shale",based on nearby landmark,seconds,small collection,"Spoil heaps near Buchholz, a village in the Ilfeld Rotliegend Basin at the southern margin of the Hartz Mountains, Central Germany. Lat long is for Buchholz.",gplates,315,mid,29.84,25.73,scotese,315,mid,23.25,16.36,seton,not computable using this model,,NA,NA,,member,,,"The Kupferschiefer is the basalmost unit of the Werra Formation, the latter being the basalmost formation of the Zechstein Series (Uppermost Permian of Central Europe).",,claystone,black,lithified,,Y,,,,,,,"Deposition took place ""below wave base in a stratified water body (Paul, 1986a)"" (Becker & Bechstädt, 2006, Sedimentology 53, pp. 1083–1120)\r\n""Sedimentation rates during Kupferschiefer deposition were low (5 mm kyr)1; Füchtbauer, 1968). The Kupferschiefer is thus interpreted as a condensed section, which formed during maximum flooding (Ross & Ross, 1995; Strohmenger et al., 1996a)."" (Becker & Bechstädt, 2006)",macrofossils,,,,,NA,,allochthonous,time-averaged,,,,,,
790462,body,,,1,individuals,Reptilia,NO_FAMILY_SPECIFIED,Parasaurus,terrestrial,,herbivore,Wuchiapingian,,Wuchiapingian,,85564,259.51,254.14,256.825,5.37,10.916667,50.683334,offshore,"ThP 279; the Dresden specimen, ""original syntype, now paralectotype"" (pl. 6 in von Meyer, 1856)",DE,Thuringia,Ilm-Kreis,Werra,Zechstein,Kupferschiefer,,species,Tsuji and Müller,2008,28938,Ilmenau,NA,"Kupferschiefer, Copper Shale",based on nearby landmark,minutes,small collection,Ilmenau is a small town at the northern margin of the southeastern part of the Thuringian Forest Mts. (Thüringer Wald),gplates,305,mid,30.06,24.9,scotese,305,mid,23.54,15.55,seton,not computable using this model,,NA,NA,,member,,,"The Kupferschiefer is the basalmost unit of the Werra Formation, the latter being the basalmost formation of the Zechstein Series (Uppermost Permian of Central Europe).",,claystone,black,lithified,carbonaceous,Y,,,,,,,"Deposition took place ""below wave base in a stratified water body (Paul, 1986a)"" (Becker & Bechstädt, 2006, Sedimentology 53, pp. 1083–1120)\r\n""Sedimentation rates during Kupferschiefer deposition were low (5 mm kyr)1; Füchtbauer, 1968). The Kupferschiefer is thus interpreted as a condensed section, which formed during maximum flooding (Ross & Ross, 1995; Strohmenger et al., 1996a)."" (Becker & Bechstädt, 2006)",macrofossils,,,,,NA,,allochthonous,time-averaged,,,,,ThP = Staatliche Naturhistorische Sammlung Dresden [State Collection of Natural History Dresden],
790406,body,,,1,individuals,Reptilia,NO_FAMILY_SPECIFIED,Parasaurus,terrestrial,,herbivore,Wuchiapingian,,Wuchiapingian,,85561,259.51,254.14,256.825,5.37,10.616667,51.583332,offshore,"GZG.V.010.101 (type; ""Jugler'sches Exemplar"", pl. 5 fig. 1 in von Meyer, 1856)",DE,Lower Saxony,Osterode,Werra,Zechstein,Kupferschiefer,,species,Tsuji and Müller,2008,28938,Walkenried,NA,"Ilfeld Basin, Kupferschiefer, Copper Shale",based on nearby landmark,minutes,,"Walkenried is a small town in the Ilfeld Rotliegend Basin at the southern margin of the Hartz Mountains, Central Germany. Lat long is for Walkenried.",gplates,315,mid,29.66,25.74,scotese,315,mid,23.08,16.35,seton,not computable using this model,,NA,NA,,bed,,,"The Kupferschiefer is the basalmost unit of the Werra Formation, the latter being the basalmost formation of the Zechstein Series (Uppermost Permian of Central Europe).",,claystone,black,lithified,carbonaceous,Y,,,,,,,"Deposition took place ""below wave base in a stratified water body (Paul, 1986a)"" (Becker & Bechstädt, 2006, Sedimentology 53, pp. 1083–1120)\r\n""Sedimentation rates during Kupferschiefer deposition were low (5 mm kyr)1; Füchtbauer, 1968). The Kupferschiefer is thus interpreted as a condensed section, which formed during maximum flooding (Ross & Ross, 1995; Strohmenger et al., 1996a)."" (Becker & Bechstädt, 2006)",macrofossils,,,,,NA,,allochthonous,time-averaged,,,,,GZG.V = Vertebrate Collection of Geoscience Center of Göttingen University (Geowisschenschafliches Zentrum der Universität Göttingen) ,
